folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0029_e2f38c9c-d081-48d2-b221-c6782500b99d,3306,x,,,,,,486,533,,,
,,x,,,,,,541,599,,,
,,x,,,,,,602,664,,,
,,x,,,,,,668,700,,,
,,,x,,,,,442,469,,,
,,,x,,,,,351,439,,,
,,,x,,,,,312,337,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0045_64ffbf72-f183-47cb-86a0-7ebb5df3b3df,3227,x,,,,,,165,284,,,,2,640
,,x,,,,,,341,424,,,
,,,x,,,,,285,339,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0051_59d487ce-e799-4e9b-b371-3e5988557445,931,x,,,,,,346,469,,,,2,700
,,x,,,,,,474,503,,,
,,x,,,,,,513,563,,,
,,x,,,,,,565,576,,,
,,x,,,,,,578,647,,,
,,x,,,,,,649,691,,,
,,,x,,,,,120,164,,,
,,,x,,,,,167,195,,,
,,,x,,,,,198,250,,,
,,,x,,,,,252,344,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0010_ecb9138e-a366-4c3b-8b43-526f850d336c,172,x,,,,,,389,463,,,,50,781
,,x,,,,,,465,511,,,
,,,x,,,,,312,336,,,
,,,x,,,,,338,381,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0015_934929c9-31dd-437a-83d6-8801414a5348,379,x,,,,,,301,379,,,,2,380
,,x,,,,,,255,299,,,
,,x,,,,,,239,253,,,
,,,x,,,,,114,228,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0016_5de70241-3ebc-4578-ae1d-50fe7065b2a2,1990,x,,,,,,75,115,,,,60,703
,,x,,,,,,117,157,,,
,,x,,,,,,232,303,,,
,,x,,,,,,323,375,,,
,,,x,,,,,160,186,,,
,,,x,,,,,188,230,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0028_b866e795-71f3-4f04-97c7-2dad50747d98,16,x,,,,,,126,148,,,,2,634
,,x,,,,,,154,258,,,
,,x,,,,,,260,281,,,
,,,x,,,,,79,123,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0042_39e4b769-cf96-4313-b838-cc7cef0f45c3,161,x,,,,,,378,717,,,,90,770
,,,x,,,,,208,376,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0042_39e4b769-cf96-4313-b838-cc7cef0f45c3,1174,x,,,,,,371,481,,,,90,770
,,x,,,,,,483,527,,,
,,x,,,,,,529,575,,,
,,x,,,,,,587,664,,,
,,x,,,,,,669,731,,,
,,,x,,,,,203,247,,,
,,,x,,,,,251,360,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0010_119173b0-dc0a-4bad-906b-00bef4592125,703,x,,,,,,51,175,,,
,,,x,,,,,10,49,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0016_639df3aa-0cbc-432b-bacd-2deca48a50ff,486,x,,,,,,137,228,,,
,,,x,,,,,84,100,,,
,,,x,,,,,102,126,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0017_09c92c70-89a7-458b-8fde-f70f8918e26a,60,x,,,,,,67,78,,,
,,x,,,,,,183,355,,,
,,,x,,,,,17,29,,,
,,,x,,,,,31,66,,,
,,,x,,,,,80,164,,,
,,,x,,,,,166,180,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0038_9caa8c56-3f14-47ca-b009-1fa43b086a17,4658,x,,,,,,452,465,,,
,,x,,,,,,469,517,,,
,,,x,,,,,418,430,,,
,,,x,,,,,432,448,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0050_cd4e0e7b-e820-4474-a102-1bc04590332e,2720,x,,,,,,410,475,,,
,,x,,,,,,477,490,,,
,,x,,,,,,492,521,,,
,,,x,,,,,355,404,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161021_0002_0008_bc62b721-449c-4faa-8bbf-a9924005a3ca,334,x,,,,,,180,400,,,
,,x,,,,,,402,456,,,
,,,x,,,,,86,98,,,
,,,x,,,,,100,133,,,
,,,x,,,,,135,170,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161021_0002_0015_9e84411d-cad3-488d-acd6-eb50bcce324a,2349,x,,,,,,191,261,,,
,,x,,,,,,263,291,,,
,,x,,,,,,293,311,,,
,,x,,,,,,313,401,,,
,,x,,,,,,403,456,,,
,,x,,,,,,458,491,,,
,,,x,,,,,88,189,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170313_0001_0029_b07db807-065a-43d4-8df4-8d0ec9b21435,118,x,,,,,,116,153,,,,2,275
,,x,,,,,,158,208,,,
,,,x,,,,,85,115,,,
,,,x,,,,,42,83,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170314_0001_0002_dc2c602c-4c1a-4419-b933-32d9a5451cf2,978,x,,,,,,112,146,,,,2,350
,,x,,,,,,148,171,,,
,,x,,,,,,172,190,,,
,,x,,,,,,192,211,,,
,,x,,,,,,221,267,,,
,,x,,,,,,269,283,,,
,,,x,,,,,42,89,,,
,,,x,,,,,91,111,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170314_0001_0018_32177311-7c31-45de-9050-50c96c3c3290,270,x,,,,,,148,163,,,
,,x,,,,,,165,196,,,
,,x,,,,,,279,307,,,
,,x,,,,,,309,336,,,
,,,x,,,,,200,215,,,
,,,x,,,,,217,275,,,
