folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0001_de0555e2-9336-4bbe-be34-4a0a7d50c6b9,755,x,,,,,,95,104,,,
,,x,,,,,,117,128,,,
,,,x,,,,,55,92,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0004_03d35518-0a0d-4c2c-b50c-8b643aea5ab5,5242,x,,,,,,341,391,,,,150,430
,,,x,,,,,229,262,,,
,,,x,,,,,274,290,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0008_ba1c5ea1-44d8-4e3d-bd72-2855ca5e4785,311,x,,,,,,235,257,,,,2,430
,,x,,,,,,270,369,,,
,,x,,,,,,386,416,,,
,,,x,,,,,198,219,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0008_ba1c5ea1-44d8-4e3d-bd72-2855ca5e4785,4570,x,,,,,,245,362,,,,2,430
,,x,,,,,,373,379,,,
,,x,,,,,,391,414,,,
,,x,,,,,,420,430,,,
,,,x,,,,,180,231,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0011_e2b0e554-8169-4781-8fd9-c1992c90ac0f,8341,x,,,,,,500,529,,,,345,700
,,,x,,,,,546,595,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0014_c8ce50db-6329-42e1-9a60-ce056402e18a,420,x,,,,,,177,253,,,,50,982
,,x,,,,,,265,286,,,
,,,x,,,,,100,129,,,
,,,x,,,,,141,170,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0015_f88da101-f3e0-4698-badd-4859168db6dc,2129,x,,,,,,376,404,,,,70,820
,,,x,,,,,320,370,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0015_f88da101-f3e0-4698-badd-4859168db6dc,6201,x,,,,,,394,418,,,,70,820
,,x,,,,,,427,451,,,
,,x,,,,,,462,471,,,
,,,x,,,,,341,376,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0017_7b50855a-6185-4d14-a721-c2a908613766,2582,x,,,,,,177,196,,,,30,320
,,x,,,,,,209,237,,,
,,x,,,,,,243,274,,,
,,,x,,,,,150,172,,,
,,,x,,,,,200,203,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0019_b88a36d8-7986-494f-b7bb-9093be8a6f5d,62,x,,,,,,176,207,,,,80,660
,,x,,,,,,216,270,,,
,,x,,,,,,403,589,,,
,,,x,,,,,130,168,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0019_b88a36d8-7986-494f-b7bb-9093be8a6f5d,287,x,,,,,,147,198,,,,80,660
,,,x,,,,,80,89,,,
,,,x,,,,,101,124,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0021_72f752df-6f62-4761-9e4b-0487e265b812,2034,x,,,,,,204,249,,,,2,901
