folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0025_b0892ef9-357e-4c6a-a291-0699a22ee4fd,2005,x,,,,,,853,988,,,,620,1062
,,,x,,,,,620,847,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0040_3c98d924-a26b-429f-8ca0-819dcccc0a3b,72,x,,,,,,390,400,,,,20,481
,,x,,,,,,404,480,,,
,,,x,,,,,260,284,,,
,,,x,,,,,316,338,,,
,,,x,,,,,351,367,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0048_4fa39df0-0949-447e-ba87-d4a4768b81f8,138,x,,,,,,209,299,,,,30,300
,,,x,,,,,183,202,,,
,,,x,,,,,143,172,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160818_0001_0051_59d487ce-e799-4e9b-b371-3e5988557445,931,x,,,,,,581,691,,,,2,701
,,x,,,,,,517,560,,,
,,x,,,,,,478,505,,,
,,x,,,,,,352,463,,,
,,,x,,,,,255,339,,,
,,,x,,,,,204,246,,,
,,,x,,,,,171,191,,,
,,,x,,,,,125,161,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0009_cc6cc9f1-5855-4a5c-a8bb-a0588b390e53,1063,x,,,,,,191,258,,,,60,918
,,x,,,,,,317,376,,,
,,,x,,,,,104,141,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160819_0002_0028_b866e795-71f3-4f04-97c7-2dad50747d98,16,x,,,,,,126,136,,,
,,x,,,,,,140,148,,,
,,x,,,,,,158,165,,,
,,x,,,,,,171,257,,,
,,x,,,,,,261,280,,,
,,,x,,,,,80,122,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0012_50346e0a-ec17-4c6a-9a49-e1eac26c386c,9,x,,,,,,100,181,,,,2,331
,,,x,,,,,67,84,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160822_0001_0053_bf841b33-5f27-437e-b4fd-88e38694c331,1085,x,,,,,,205,271,,,
,,x,,,,,,276,318,,,
,,x,,,,,,323,376,,,
,,x,,,,,,380,470,,,
,,x,,,,,,491,511,,,
,,x,,,,,,515,529,,,
,,,x,,,,,145,151,,,
,,,x,,,,,155,169,,,
,,,x,,,,,174,178,,,
,,,x,,,,,183,192,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160823_0001_0002_f1241fe2-adfb-4eaf-8c1c-e0903c101295,101,x,,,,,,277,290,,,,130,580
,,x,,,,,,297,307,,,
,,x,,,,,,316,345,,,
,,x,,,,,,360,373,,,
,,x,,,,,,379,385,,,
,,x,,,,,,393,528,,,
,,,x,,,,,145,219,,,
,,,x,,,,,229,265,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160823_0001_0004_1b8f729e-c79a-4956-8644-4635adbc9c9c,624,x,,,,,,157,331,,,,30,711
,,x,,,,,,339,368,,,
,,,x,,,,,145,151,,,
,,,x,,,,,123,139,,,
,,,x,,,,,64,118,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160823_0001_0004_1b8f729e-c79a-4956-8644-4635adbc9c9c,1275,x,,,,,,210,228,,,,30,711
,,x,,,,,,234,465,,,
,,,x,,,,,138,205,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160823_0001_0027_53eece61-a266-446a-9fa5-63ccb6bf5d36,1095,x,,,,,,313,327,,,,30,557
,,x,,,,,,334,348,,,
,,x,,,,,,378,405,,,
,,,x,,,,,281,298,,,
,,,x,,,,,242,253,,,
,,,x,,,,,217,232,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0015_645badb2-465e-4b42-a11d-fb70bf985825,324,x,,,,,,294,408,,,
,,x,,,,,,413,444,,,
,,,x,,,,,131,162,,,
,,,x,,,,,168,251,,,
,,,x,,,,,256,289,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0017_09c92c70-89a7-458b-8fde-f70f8918e26a,60,x,,,,,,68,77,,,
,,x,,,,,,185,354,,,
,,,x,,,,,40,64,,,
,,,x,,,,,82,180,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161020_0003_0038_9caa8c56-3f14-47ca-b009-1fa43b086a17,4658,x,,,,,,474,514,,,,2,1140
,,,x,,,,,422,446,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161021_0002_0008_bc62b721-449c-4faa-8bbf-a9924005a3ca,334,x,,,,,,183,267,,,
,,x,,,,,,274,398,,,
,,x,,,,,,405,454,,,
,,,x,,,,,142,168,,,
,,,x,,,,,76,94,,,
,,,x,,,,,106,131,,,
,,,x,,,,,58,67,,,
,,,x,,,,,40,48,,,
,,,x,,,,,4,30,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20161021_0002_0015_9e84411d-cad3-488d-acd6-eb50bcce324a,100,x,,,,,,104,147,,,
,,x,,,,,,153,157,,,
,,,x,,,,,47,97,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170314_0001_0039_fd3fd96d-a09c-48c1-b76f-fd71a0b07f20,250,x,,,,,,137,179,,,,60,445
,,x,,,,,,184,340,,,
,,,x,,,,,102,132,,,
