# users: Sarah Needham, Kathrin Scherer, 
# sample descripton: wtEGFR HER1 Affibody CF640R 5nM
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,15,x,,,,,,386,474,,,
,,,x,,,,,346,375,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,58,x,,,,,,156,174,,,
,,x,,,,,,182,225,,,
,,x,,,,,,227,232,,,
,,,x,,,,,97,150,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,202,x,,,,,,57,296,,,
,,,x,,,,,20,49,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,494,x,,,,,,40,79,,,
,,,x,,,,,7,36,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,663,x,,,,,,182,241,,,
,,x,,,,,,245,264,,,
,,x,,,,,,273,315,,,
,,x,,,,,,320,329,,,
,,x,,,,,,331,334,,,
,,x,,,,,,340,392,,,
,,,x,,,,,156,176,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,711,x,,,,,,188,317,,,
,,,x,,,,,139,178,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,1374,x,,,,,,322,481,,,
,,,x,,,,,195,314,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,1739,x,,,,,,106,135,,,
,,,x,,,,,23,102,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,1848,x,,,,,,87,153,,,
,,x,,,,,,155,166,,,
,,x,,,,,,168,319,,,
,,x,,,,,,330,380,,,
,,,x,,,,,44,66,,,
,,,x,,,,,68,76,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,2422,x,,,,,,108,147,,,
,,x,,,,,,155,204,,,
,,,x,,,,,47,106,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20141104_0001_0002_23fd77df-487a-4a57-b8c1-9996e44ea761,2566,x,,,,,,103,161,,,
,,,x,,,,,65,94,,,
