# users: Sarah Needham
# sample descripton: CHO_WTEGFR_2nMEGF_topup
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0023_ea75abd7-198b-4f99-99d2-efa8a0b30ac9,27,x,,,,,,151,181,,,
,,,x,,,,,95,134,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0023_ea75abd7-198b-4f99-99d2-efa8a0b30ac9,547,x,,,,,,173,192,,,
,,,x,,,,,44,171,,,
,,,x,,,,,38,42,,,
,,,x,,,,,16,20,,,
,,,x,,,,,8,14,,,
,,,x,,,,,2,5,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0023_ea75abd7-198b-4f99-99d2-efa8a0b30ac9,3577,x,,,,,,481,492,,,
,,x,,,,,,494,498,,,
,,x,,,,,,531,536,,,
,,x,,,,,,541,546,,,
,,,x,,,,,445,454,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160121_0001_0023_ea75abd7-198b-4f99-99d2-efa8a0b30ac9,4442,x,,,,,,178,207,,,
,,,x,,,,,133,162,,,
