# users: Sarah Needham
# sample descripton: wtEGFR+EGF 30nM (8+22)_top-up
# comment: 
folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,13,x,,,,,,49,148,,,
,,,x,,,,,2,42,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,62,x,,,,,,291,302,,,
,,x,,,,,,304,323,,,
,,x,,,,,,325,328,,,
,,x,,,,,,330,336,,,
,,x,,,,,,341,347,,,
,,x,,,,,,350,356,,,
,,x,,,,,,367,375,,,
,,x,,,,,,377,380,,,
,,x,,,,,,387,408,,,
,,x,,,,,,410,457,,,
,,x,,,,,,459,487,,,
,,x,,,,,,489,494,,,
,,,x,,,,,250,279,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,80,x,,,,,,342,363,,,
,,x,,,,,,316,339,,,
,,,x,,,,,222,301,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,201,x,,,,,,169,172,,,
,,x,,,,,,333,348,,,
,,x,,,,,,321,331,,,
,,x,,,,,,308,318,,,
,,x,,,,,,303,306,,,
,,x,,,,,,174,177,,,
,,x,,,,,,180,189,,,
,,x,,,,,,199,217,,,
,,x,,,,,,219,229,,,
,,x,,,,,,234,252,,,
,,x,,,,,,255,263,,,
,,x,,,,,,266,271,,,
,,x,,,,,,284,299,,,
,,x,,,,,,278,282,,,
,,,x,,,,,64,68,,,
,,,x,,,,,71,153,,,
,,,x,,,,,36,61,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,232,x,,,,,,186,235,,,
,,,x,,,,,134,137,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,567,x,,,,,,494,553,,,
,,,x,,,,,473,492,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0016_785b5113-381a-4761-a10e-59146833133e,6752,x,,,,,,306,310,,,
,,x,,,,,,312,323,,,
,,x,,,,,,325,345,,,
,,x,,,,,,398,419,,,
,,x,,,,,,421,438,,,
,,x,,,,,,449,458,,,
,,,x,,,,,348,397,,,
