folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170425_0001_0004_59086b80-d2cb-43be-95b4-9673ce3a6243,59,x,,,,,,182,251,,,
,,x,,,,,,255,366,,,
,,,x,,,,,159,174,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170425_0001_0006_c37984ac-d1cd-4d3b-8458-0b97adfdb879,1045,x,,,,,,535,615,,,
,,x,,,,,,619,650,,,
,,x,,,,,,652,670,,,
,,,x,,,,,371,501,,,
,,,x,,,,,505,519,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170425_0001_0029_91322aec-4e2a-4a61-95f4-ccc74845b9d5,315,x,,,,,,112,181,,,
,,,x,,,,,16,108,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170425_0001_0030_c5d7ba70-5ae8-4249-ae9a-cdb24beb31dd,62,x,,,,,,223,337,,,,2,480
,,x,,,,,,173,216,,,
,,x,,,,,,149,161,,,
,,,x,,,,,24,144,,,
,,,x,,,,,2,19,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170425_0001_0031_9b38db72-0fc8-4a0c-aafc-0af34a254584,69,x,,,,,,193,342,,,,2,401
,,,x,,,,,348,400,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170425_0001_0033_d1927af4-1f4e-4367-8fc8-ecb6ef46b7ea,196,x,,,,,,87,116,,,
,,,x,,,,,2,55,,,
,,,x,,,,,59,83,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0016_2e5096e6-19bf-4f24-9dbd-8d1700968674,4970,x,,,,,,563,653,,,
,,,x,,,,,657,687,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0016_2e5096e6-19bf-4f24-9dbd-8d1700968674,5084,x,,,,,,311,330,,,
,,,x,,,,,337,384,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0016_2e5096e6-19bf-4f24-9dbd-8d1700968674,7682,x,,,,,,719,727,,,
,,x,,,,,,731,740,,,
,,,x,,,,,651,699,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0021_e0971a2c-8d68-4802-aedf-77180efb2784,631,x,,,,,,398,480,,,,170,760
,,,x,,,,,314,395,,,
,,,x,,,,,258,311,,,
,,,x,,,,,237,256,,,
,,,x,,,,,183,235,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0022_677fb029-41d2-44d4-ac9f-72d30df7ff08,6446,x,,,,,,438,449,,,,31,999
,,,x,,,,,426,437,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0023_e78c0645-d04d-465f-84fd-783b9a1bef76,5117,x,,,,,,396,415,,,,81,900
,,,x,,,,,420,444,,,
,,,x,,,,,446,492,,,
,,,x,,,,,503,543,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0026_bfbe5c38-aa2b-4a23-8460-933aea7a1dd7,67,x,,,,,,9,46,,,,3,230
,,,x,,,,,56,75,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0026_bfbe5c38-aa2b-4a23-8460-933aea7a1dd7,1013,x,,,,,,55,123,,,,2,230
,,,x,,,,,142,179,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0027_fb5ac7ab-08e2-4cc1-b51a-1d79da04cae5,85,x,,,,,,153,173,,,,2,360
,,x,,,,,,177,196,,,
,,,x,,,,,127,140,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0029_86650234-6bdf-46d1-9f6b-d49727691b33,71,x,,,,,,103,125,,,
,,,x,,,,,56,93,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0029_86650234-6bdf-46d1-9f6b-d49727691b33,1827,x,,,,,,459,492,,,
,,x,,,,,,442,456,,,
,,,x,,,,,408,438,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0029_86650234-6bdf-46d1-9f6b-d49727691b33,2387,x,,,,,,125,170,,,
,,,x,,,,,104,123,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0029_86650234-6bdf-46d1-9f6b-d49727691b33,3691,x,,,,,,250,274,,,
,,x,,,,,,153,215,,,
,,,x,,,,,276,304,,,
,,,x,,,,,219,247,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0030_f8488509-ec03-4fd1-9c43-6f4568adde55,6049,x,,,,,,465,510,,,,260,550
,,x,,,,,,421,460,,,
,,,x,,,,,526,550,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0031_a50ffe47-e457-4e65-8ebb-842eb9c3da15,6023,x,,,,,,458,513,,,,2,630
,,,x,,,,,432,449,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0035_03a2f93c-c86d-48de-82d1-6d187773faac,3122,x,,,,,,305,331,,,
,,x,,,,,,364,370,,,
,,,x,,,,,334,361,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0036_a28c31fe-33a0-4301-a299-15cd01c2010c,4252,x,,,,,,345,365,,,,301,440
,,,x,,,,,312,341,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0037_2a6f4174-294f-4e3b-a34d-6cfade95d21b,99,x,,,,,,25,49,,,,2,140
,,x,,,,,,52,140,,,
,,,x,,,,,3,15,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0037_2a6f4174-294f-4e3b-a34d-6cfade95d21b,251,x,,,,,,78,104,,,,2,140
,,,x,,,,,107,140,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170426_0001_0040_a4e29a31-7ab4-479a-9fc9-c760ff6b935d,4490,x,,,,,,242,261,,,,71,360
,,,x,,,,,216,238,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0003_53383c78-95e2-42bd-974a-6263e03f4ac7,585,x,,,,,,28,61,,,
,,x,,,,,,3,14,,,
,,,x,,,,,68,90,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0003_53383c78-95e2-42bd-974a-6263e03f4ac7,2836,x,,,,,,489,499,,,
,,,x,,,,,505,573,,,
,,,x,,,,,581,587,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20170427_0004_0007_963d5a0a-83b1-453e-a191-241955acf795,3980,x,,,,,,241,332,,,,100,600
,,x,,,,,,347,355,,,
