folder,track id,Im,Id,It,Itet,Ibl,Ibr,frame start,frame stop,mean,sigma,SEM
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0001_1b7c5392-1eba-412e-9534-72d35947a657,10,x,,,,,,130,147,,,,2,220
,,,x,,,,,6,51,,,
,,,x,,,,,61,126,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0001_1b7c5392-1eba-412e-9534-72d35947a657,887,x,,,,,,403,445,,,,230,590
,,x,,,,,,234,397,,,
,,,x,,,,,462,501,,,
,,,x,,,,,451,454,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0002_ce7ddcb9-4395-45e9-8d1f-bac9b6fce33f,894,x,,,,,,108,123,,,,100,360
,,x,,,,,,129,178,,,
,,x,,,,,,276,331,,,
,,,x,,,,,183,208,,,
,,,x,,,,,230,240,,,
,,,x,,,,,247,270,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0002_ce7ddcb9-4395-45e9-8d1f-bac9b6fce33f,1467,x,,,,,,236,267,,,,100,360
,,,x,,,,,272,298,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0002_ce7ddcb9-4395-45e9-8d1f-bac9b6fce33f,4487,x,,,,,,243,300,,,,100,360
,,,x,,,,,307,360,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0003_7f246611-f442-42b1-a9e9-bb05994ac1f5,22,x,,,,,,306,354,,,,220,540
,,,x,,,,,257,302,,,
,,,x,,,,,220,253,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0005_3094347f-5665-41cf-bd40-ae9b42c0d10c,111,x,,,,,,48,201,,,
,,,x,,,,,2,38,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0005_3094347f-5665-41cf-bd40-ae9b42c0d10c,165,x,,,,,,109,181,,,
,,,x,,,,,61,105,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0017_1f9d981f-a47b-45af-ac2c-606a54d7848e,54,x,,,,,,21,130,,,,2,130
,,,x,,,,,2,15,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0017_1f9d981f-a47b-45af-ac2c-606a54d7848e,4955,x,,,,,,325,353,,,,270,410
,,,x,,,,,270,319,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0018_df5ddbcd-3804-4a48-bed1-f2e9378873a7,26,x,,,,,,32,208,,,,15,305
,,x,,,,,,214,287,,,
,,x,,,,,,293,305,,,
,,,x,,,,,15,27,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0018_df5ddbcd-3804-4a48-bed1-f2e9378873a7,80,x,,,,,,32,118,,,,15,305
,,,x,,,,,15,26,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0018_df5ddbcd-3804-4a48-bed1-f2e9378873a7,92,x,,,,,,57,105,,,,15,305
,,x,,,,,,110,128,,,
,,x,,,,,,136,182,,,
,,,x,,,,,15,24,,,
,,,x,,,,,29,51,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0018_df5ddbcd-3804-4a48-bed1-f2e9378873a7,177,x,,,,,,53,90,,,,15,305
,,x,,,,,,96,214,,,
,,x,,,,,,221,240,,,
,,x,,,,,,246,249,,,
,,,x,,,,,36,47,,,
/mnt/rclsfserv005/MSMM_analysed/OctopusSM3/20160111_0001_0018_df5ddbcd-3804-4a48-bed1-f2e9378873a7,460,x,,,,,,153,296,,,,15,305
,,,x,,,,,32,57,,,
,,,x,,,,,69,75,,,
,,,x,,,,,86,147,,,
